Session Id;Gender;Age;Registered user
ae6b59ac-817a-427e-abb7-aae4ef17d970;M;51+;0
12818a5b-e89a-4304-bf07-d269070c62d9;M;31-50;0
4ca97001-bdad-4a35-9c8e-114a7e289fe5;M;31-50;0
f1d05660-fd62-4208-9418-69793473bf8d;F;31-50;1
2dfcb987-13e7-4174-adbc-36e026d13cf7;F;31-50;0
bd4ce392-e20d-4f78-be09-d28579a3a4a3;F;51+;0
fd5f6c6f-87c2-4a90-8940-1802940ce74a;F;51+;0
724b44aa-4c5c-4dbb-917b-f4d5a5efdde2;F;18-30;0
ab944451-e71d-4441-a16d-747318bb4187;M;18-30;1
ed7bf9c5-0c5f-4f0a-9b5c-17f300f98aab;M;51+;0
66e8cf1d-1630-457a-90a0-92c18805a544;F;18-30;1
95573c08-e45e-4567-a339-775de5340671;F;18-30;0
42dbaca4-4008-4b00-8280-f952c1c7edc2;F;31-50;1
cb6e018e-cb51-4c8b-b586-e062167834c2;M;18-30;1
2f58a9ef-36b3-45b2-a86e-0b85ff3bf117;M;51+;0
70e0fc82-3b35-4e2d-94af-7a57dd8f17ca;M;18-30;0
72082bd5-c704-42f1-9266-e7fd6d6f2980;M;51+;1
249b6fff-9b6c-4b49-9027-52ac1fbc2b6b;F;18-30;0
b9596719-7b92-4109-9629-caccfd6769ea;F;18-30;0
0d074792-2d80-4ed3-9c08-d7affa54620b;M;51+;0
70110913-1d56-40f1-bbe2-5d47715c1034;F;51+;1
630d4c53-68d3-425b-9aab-08d65f49362b;M;18-30;1
e9b188fc-c8ce-45ed-83fa-72ada69efa72;F;51+;1
72e7e2fc-87c2-47ca-a2ca-bae1a4c0fa8d;M;18-30;0
a4c199e3-9116-4b22-9b29-d18d704e782d;M;31-50;1
028f19e0-d926-47d0-83e1-032f1a66c724;F;51+;0
af7e9347-5052-4875-a63b-72555f6d15b5;M;51+;1
16552687-0c50-4952-8efb-e1b873d7949a;M;31-50;0
e56eaddd-c3d0-4e42-bade-0aafe65d4c9b;M;51+;0
93c3e037-a5b0-4b81-aebc-58b1dd508dd0;F;51+;1
25910053-1910-455e-a383-f999d5f3bdb4;F;18-30;1
b50a9d68-caa5-49f4-9c6f-5445ddef1e24;F;18-30;1
ac58c22b-2f81-4ce5-85e5-b287f73160f4;M;31-50;1
e4670335-da98-4560-ac2a-ba2d27ca6749;M;31-50;1
f8b0db62-ee7e-4790-8f16-79ff813d0c63;F;51+;1
fb2f52ec-75b2-488a-9f27-f90dc9464f49;F;31-50;0
4b088da6-cb36-4c16-9244-38401c9e00e0;F;51+;0
8916245b-23a7-4e2e-98b6-2d38b0e80768;M;31-50;0
84ca7e09-8f19-4223-8954-796ae8f8dff4;M;31-50;0
89fa2154-3bb1-485d-8542-891a108c18af;F;31-50;0
ba2fa271-8f28-4e68-b8e8-8332cda52e76;M;31-50;1
5b2bc03f-3343-4fa9-b261-d04432777c46;F;51+;0
38edc3dc-6196-41f8-827a-2b9718aea2eb;F;51+;1
73badd4d-6868-4ea4-9b8c-2ad8bb70fb10;M;18-30;0
4d40728b-b6f3-4c70-afb3-c864b9a05513;M;51+;0
54ace58a-570a-4fb9-88d3-874b9a6473e9;F;51+;1
e30cbac5-59f6-48b5-ab31-6453ec7fb2ef;F;51+;1
da1ce143-35e7-42ff-b3d7-01fad712ebf8;M;18-30;1
c627e5d8-62a6-48de-92bd-43391e7e7d41;F;18-30;1
accc2e71-0633-4823-a90f-87203d53f7c0;F;51+;0
bf93be83-f2b6-4eb8-951e-6c63627507ae;F;31-50;1
65ef5b89-9fb1-44c3-8b5d-dbf3007eced8;M;18-30;1
b7ff6302-4667-4737-b7bb-f0fa94c63647;M;18-30;0
3d158d6a-715f-4ee8-8260-9e079cad7073;M;18-30;0
e0812829-d6a1-4d32-8dcb-18343873ac20;F;18-30;0
ab15ac9b-e148-4fa4-bdff-0d1f5e7fc974;F;31-50;0
1bd7db45-0be3-4eab-8ba0-34e1907175cd;M;31-50;1
b9386b50-ee89-41a9-a5e3-1f9511b1cc4f;M;18-30;1
