year;month;day;hour;day_week;date_id
2022;1;3;7;2;1
2022;1;3;8;2;2
2022;1;3;10;2;3
2022;1;3;13;2;4
2022;1;3;14;2;5
2022;1;4;6;3;6
2022;1;4;7;3;7
2022;1;4;8;3;8
2022;1;4;10;3;9
2022;1;4;11;3;10
2022;1;4;12;3;11
2022;1;4;13;3;12
2022;1;4;14;3;13
2022;1;4;15;3;14
2022;1;4;16;3;15
2022;1;5;0;4;16
2022;1;5;2;4;17
2022;1;5;7;4;18
2022;1;5;8;4;19
2022;1;5;9;4;20
2022;1;5;10;4;21
2022;1;5;12;4;22
2022;1;5;13;4;23
2022;1;5;14;4;24
2022;1;5;15;4;25
2022;1;5;16;4;26
2022;1;5;17;4;27
2022;1;5;20;4;28
2022;1;6;3;5;29
2022;1;6;7;5;30
2022;1;6;12;5;31
2022;1;6;16;5;32
2022;1;6;21;5;33
2022;1;7;5;6;34
2022;1;7;9;6;35
2022;1;7;11;6;36
2022;1;7;12;6;37
2022;1;7;13;6;38
2022;1;7;14;6;39
2022;1;7;15;6;40
2022;1;7;16;6;41
2022;1;7;17;6;42
2022;1;8;8;7;43
2022;1;10;7;2;44
2022;1;10;9;2;45
2022;1;10;11;2;46
2022;1;10;12;2;47
2022;1;10;13;2;48
2022;1;10;14;2;49
2022;1;10;15;2;50
2022;1;10;16;2;51
2022;1;10;20;2;52
2022;1;11;6;3;53
2022;1;11;7;3;54
2022;1;11;8;3;55
2022;1;11;9;3;56
2022;1;11;10;3;57
2022;1;11;11;3;58
2022;1;11;12;3;59
2022;1;11;13;3;60
2022;1;11;14;3;61
2022;1;11;15;3;62
2022;1;11;16;3;63
2022;1;11;18;3;64
2022;1;11;19;3;65
2022;1;12;5;4;66
2022;1;12;7;4;67
2022;1;12;8;4;68
2022;1;12;9;4;69
2022;1;12;10;4;70
2022;1;12;13;4;71
2022;1;12;14;4;72
2022;1;12;15;4;73
2022;1;12;16;4;74
2022;1;12;17;4;75
2022;1;13;7;5;76
2022;1;13;8;5;77
2022;1;13;9;5;78
2022;1;13;12;5;79
2022;1;13;13;5;80
2022;1;13;14;5;81
2022;1;13;15;5;82
2022;1;13;16;5;83
2022;1;13;17;5;84
2022;1;13;18;5;85
2022;1;13;22;5;86
2022;1;13;23;5;87
2022;1;14;6;6;88
2022;1;14;7;6;89
2022;1;14;8;6;90
2022;1;14;9;6;91
2022;1;14;10;6;92
2022;1;14;11;6;93
2022;1;14;12;6;94
2022;1;14;13;6;95
2022;1;14;14;6;96
2022;1;14;15;6;97
2022;1;14;16;6;98
2022;1;14;22;6;99
2022;1;16;13;1;100
2022;1;17;4;2;101
2022;1;17;6;2;102
2022;1;17;7;2;103
2022;1;17;8;2;104
2022;1;17;9;2;105
2022;1;17;13;2;106
2022;1;17;14;2;107
2022;1;17;15;2;108
2022;1;17;16;2;109
2022;1;17;19;2;110
2022;1;17;20;2;111
2022;1;17;21;2;112
2022;1;18;8;3;113
2022;1;18;10;3;114
2022;1;18;13;3;115
2022;1;18;14;3;116
2022;1;18;15;3;117
2022;1;18;16;3;118
2022;1;18;21;3;119
2022;1;19;6;4;120
2022;1;19;7;4;121
2022;1;19;8;4;122
2022;1;19;9;4;123
2022;1;19;11;4;124
2022;1;19;12;4;125
2022;1;19;13;4;126
2022;1;19;14;4;127
2022;1;19;15;4;128
2022;1;19;16;4;129
2022;1;19;20;4;130
2022;1;19;21;4;131
2022;1;20;0;5;132
2022;1;20;1;5;133
2022;1;20;2;5;134
2022;1;20;6;5;135
2022;1;20;9;5;136
2022;1;20;10;5;137
2022;1;20;11;5;138
2022;1;20;12;5;139
2022;1;20;13;5;140
2022;1;20;15;5;141
2022;1;20;16;5;142
2022;1;20;17;5;143
2022;1;20;18;5;144
2022;1;20;19;5;145
2022;1;20;20;5;146
2022;1;21;8;6;147
2022;1;21;9;6;148
2022;1;21;10;6;149
2022;1;21;11;6;150
2022;1;21;12;6;151
2022;1;21;13;6;152
2022;1;21;14;6;153
2022;1;21;16;6;154
2022;1;21;17;6;155
2022;1;22;18;7;156
2022;1;23;17;1;157
2022;1;23;20;1;158
2022;1;24;1;2;159
2022;1;24;3;2;160
2022;1;24;9;2;161
2022;1;24;10;2;162
2022;1;24;11;2;163
2022;1;24;12;2;164
2022;1;24;13;2;165
2022;1;24;14;2;166
2022;1;24;15;2;167
2022;1;24;16;2;168
2022;1;24;20;2;169
2022;1;25;0;3;170
2022;1;25;1;3;171
2022;1;25;2;3;172
2022;1;25;7;3;173
2022;1;25;8;3;174
2022;1;25;11;3;175
2022;1;25;13;3;176
2022;1;25;14;3;177
2022;1;26;4;4;178
2022;1;26;6;4;179
2022;1;26;8;4;180
2022;1;26;9;4;181
2022;1;26;10;4;182
2022;1;26;11;4;183
2022;1;26;12;4;184
2022;1;26;13;4;185
2022;1;26;15;4;186
2022;1;26;17;4;187
2022;1;26;23;4;188
2022;1;27;4;5;189
2022;1;27;5;5;190
2022;1;27;6;5;191
2022;1;27;9;5;192
2022;1;27;12;5;193
2022;1;27;13;5;194
2022;1;27;15;5;195
2022;1;27;16;5;196
2022;1;27;20;5;197
2022;1;27;21;5;198
2022;1;28;2;6;199
2022;1;28;7;6;200
2022;1;28;8;6;201
2022;1;28;9;6;202
2022;1;28;12;6;203
2022;1;28;15;6;204
2022;1;28;17;6;205
2022;1;29;0;7;206
2022;1;30;10;1;207
2022;1;31;8;2;208
2022;1;31;9;2;209
2022;1;31;10;2;210
2022;1;31;11;2;211
2022;1;31;12;2;212
2022;1;31;13;2;213
2022;1;31;14;2;214
2022;1;31;15;2;215
2022;1;31;20;2;216
2022;2;1;8;3;217
2022;2;1;9;3;218
2022;2;1;10;3;219
2022;2;1;11;3;220
2022;2;1;12;3;221
2022;2;1;13;3;222
2022;2;1;14;3;223
2022;2;1;16;3;224
2022;2;1;18;3;225
2022;2;1;19;3;226
2022;2;1;21;3;227
2022;2;2;0;4;228
2022;2;2;7;4;229
2022;2;2;8;4;230
2022;2;2;9;4;231
2022;2;2;10;4;232
2022;2;2;11;4;233
2022;2;2;14;4;234
2022;2;2;15;4;235
2022;2;2;16;4;236
2022;2;2;19;4;237
2022;2;2;21;4;238
2022;2;3;0;5;239
2022;2;3;6;5;240
2022;2;3;7;5;241
2022;2;3;8;5;242
2022;2;3;9;5;243
2022;2;3;10;5;244
2022;2;3;11;5;245
2022;2;3;12;5;246
2022;2;3;13;5;247
2022;2;3;14;5;248
2022;2;3;15;5;249
2022;2;3;16;5;250
2022;2;3;17;5;251
2022;2;3;18;5;252
2022;2;3;19;5;253
2022;2;3;20;5;254
2022;2;4;6;6;255
2022;2;4;7;6;256
2022;2;4;8;6;257
2022;2;4;9;6;258
