os_id;country_id;url_id;browser;latency;age;gender;registered;date_id
IOS14_7_1;CA;/                                           ;Chrome    ;512;51+  ;M;0;1
A9       ;EG;/apis/onSite/pGateway/introduction          ;Chrome    ;302;31-50;F;0;2
A10      ;ID;/packages                                   ;Chrome    ;285;31-50;F;1;2
IOS14_6  ;CZ;/                                           ;Safari    ;477;31-50;M;0;2
IOS16_0  ;FI;/                                           ;Safari    ;369;31-50;M;0;2
A8_1_0   ;MT;/apis/onSite/pGateway/hardware              ;Chrome    ;718;18-30;F;0;3
A6       ;KR;/                                           ;Chrome    ;233;51+  ;F;0;3
IOS15_6_1;MX;/apis/onSite/pGateway/deployment            ;Edge      ;604;31-50;F;1;3
W8_1     ;RO;/apis/onSite/pGateway/deployment            ;Firefox   ;593;18-30;F;0;3
IOS14_7  ;DE;/apis/onSite/pGateway/introduction          ;Firefox   ;521;18-30;F;1;3
IOS11_0  ;CZ;/apis/onSite/pGateway/specification         ;Firefox   ;307;51+  ;M;1;3
IOS16_0  ;ID;/apis/onSite/pGateway/hardware              ;Firefox   ;495;51+  ;M;0;3
IOS15_3  ;BG;/                                           ;Opera     ;251;51+  ;M;0;3
IOS15_6_1;RS;/                                           ;Opera     ;598;18-30;M;0;3
A10      ;HK;/                                           ;Opera     ;446;18-30;F;0;3
A9       ;US;/apis/onSite/pGateway/introduction          ;Opera     ;355;18-30;M;1;3
A9       ;TH;/                                           ;Safari    ;257;51+  ;F;0;3
IOS15_3_1;SK;/                                           ;Chrome    ;303;51+  ;M;0;4
A11      ;BG;/packages                                   ;Chrome    ;231;51+  ;F;1;4
IOS15_6  ;HK;/                                           ;Edge      ;1087;18-30;M;1;4
IOS15_6_1;HR;/apis/onSite/pGateway/introduction          ;Edge      ;962;18-30;M;0;4
MI10_13  ;RU;/                                           ;Edge      ;524;18-30;F;0;4
IOS15_5  ;CH;/packages                                   ;Opera     ;538;51+  ;F;1;4
IOS14_6  ;AU;/                                           ;Opera     ;434;51+  ;M;1;4
IOS11_0  ;SG;/apis/onSite/pGateway/specification         ;Safari    ;507;51+  ;F;0;4
A6       ;BA;/                                           ;Chrome    ;1147;18-30;F;1;5
IOS15_3  ;SG;/                                           ;Chrome    ;277;51+  ;F;1;5
MI10_13  ;TR;/                                           ;Chrome    ;431;51+  ;M;0;5
A8_1_0   ;HU;/apis/cloud/robot/introduction              ;Edge      ;402;18-30;F;1;5
IOS15_7  ;DK;/                                           ;Firefox   ;563;31-50;M;0;5
IOS14_7  ;BH;/sdk/mobile/myport/specification            ;Chrome    ;1089;51+  ;F;0;6
IOS15_6_1;SI;/                                           ;Chrome    ;202;31-50;F;1;6
MI10_13  ;PL;/news/c9592ecb-69b9-eb11-b81f-00155d0ace00  ;Edge      ;655;51+  ;F;0;6
A6       ;ES;/sdk/mobile/myport/requirements             ;Edge      ;321;18-30;M;0;6
MI10_15  ;HR;/news/c9592ecb-69b9-eb11-b81f-00155d0ace00  ;Edge      ;244;31-50;M;0;6
MI10_14  ;VN;/                                           ;Edge      ;447;31-50;M;1;6
A8_0_0   ;EG;/apis/onSite/pGateway/introduction          ;Edge      ;891;51+  ;F;0;6
IOS15_6  ;GB;/news/c9592ecb-69b9-eb11-b81f-00155d0ace00  ;Edge      ;730;18-30;M;1;6
IOS14_6  ;NP;/news                                       ;Edge      ;372;51+  ;F;1;6
IOS15_3_1;GE;/news                                       ;Edge      ;485;31-50;F;0;6
LX       ;RS;/sdk/mobile/myport/download                 ;Firefox   ;467;51+  ;F;1;6
IOS15_3  ;DE;/packages                                   ;Firefox   ;193;31-50;F;0;6
A8_1_0   ;SK;/sdk/mobile/myport/introduction             ;Firefox   ;1093;31-50;M;1;6
A8_0_0   ;AU;/sdk/mobile/myport/introduction             ;Opera     ;616;51+  ;M;0;6
IOS11_0  ;GE;/                                           ;Opera     ;314;31-50;M;0;6
IOS15_5  ;FR;/news                                       ;Opera     ;548;18-30;F;1;6
IOS14_6  ;MA;/packages                                   ;Opera     ;282;31-50;M;1;6
IOS14_6  ;BR;/apis/onSite/pGateway/introduction          ;Opera     ;267;51+  ;F;1;6
A10      ;UA;/sdk/mobile/myport/usage                    ;Safari    ;334;51+  ;F;1;6
W10      ;IO;/packages                                   ;Chrome    ;509;18-30;M;1;7
A11      ;DE;/apis/cloud/robot/introduction              ;Opera     ;169;18-30;M;0;8
IOS15_3_1;MA;/                                           ;Edge      ;427;31-50;F;0;9
IOS14_7  ;JP;/                                           ;Edge      ;426;18-30;F;0;9
W8_1     ;CN;/                                           ;Firefox   ;714;18-30;M;0;9
IOS15_6_1;ID;/apis/cloud/robot/specification             ;Chrome    ;797;31-50;F;0;10
IOS15_4  ;NO;/apis/cloud/robot/specification             ;Edge      ;982;31-50;F;0;10
IOS15_5  ;BH;/apis/cloud/robot/introduction              ;Edge      ;628;18-30;M;1;10
MI10_14  ;AU;/apis/cloud/robot/specification             ;Edge      ;298;31-50;F;0;10
A13      ;AR;/                                           ;Firefox   ;508;51+  ;F;1;10
IOS14_7  ;NP;/                                           ;Opera     ;455;51+  ;F;1;10
MI10_13  ;MT;/apis/onSite/pGateway/specification         ;Opera     ;510;31-50;F;1;10
IOS15_4  ;PT;/apis/cloud/robot/specification             ;Opera     ;225;18-30;M;0;10
A12      ;BH;/packages                                   ;Safari    ;423;31-50;M;1;10
A9       ;CN;/apis/cloud/robot/introduction              ;Safari    ;333;18-30;M;1;10
IOS15_3_1;DK;/apis/onSite/pGateway/introduction          ;Chrome    ;174;18-30;M;1;11
IOS15_4  ;BG;/packages                                   ;Opera     ;340;51+  ;M;1;11
LX       ;UA;/                                           ;Safari    ;414;31-50;M;0;11
IOS15_6  ;AR;/packages                                   ;Safari    ;397;31-50;F;0;11
IOS11_0  ;NO;/sdk/mobile/myport/introduction             ;Safari    ;356;18-30;M;0;11
MI10_13  ;DK;/packages                                   ;Chrome    ;816;18-30;M;0;12
W10      ;RS;/                                           ;Edge      ;598;18-30;M;0;12
W8_1     ;MY;/apis/cloud/robot/usage                     ;Edge      ;598;18-30;F;1;12
W10      ;HR;/apis/onSite/pGateway/introduction          ;Edge      ;465;31-50;F;0;12
IOS13_2_3;PL;/apis/cloud/robot/introduction              ;Firefox   ;227;18-30;M;0;12
IOS15_6_1;FI;/                                           ;Opera     ;340;51+  ;M;0;12
W10      ;VN;/                                           ;Opera     ;842;18-30;F;0;12
MI10_13  ;NL;/                                           ;Opera     ;450;18-30;F;0;12
A8_1_0   ;MA;/apis/onSite/pGateway/introduction          ;Safari    ;474;31-50;F;1;12
IOS14_7  ;ZA;/packages                                   ;Safari    ;364;51+  ;M;0;12
IOS13_2_3;PL;/packages                                   ;Safari    ;189;31-50;F;0;12
A12      ;BG;/packages                                   ;Safari    ;322;51+  ;M;0;12
MI10_13  ;NZ;/                                           ;Chrome    ;401;51+  ;M;1;13
A6       ;LT;/apis/onSite/pGateway/specification         ;Chrome    ;337;18-30;M;0;13
MI10_15  ;RS;/                                           ;Edge      ;620;18-30;M;1;13
IOS15_5  ;VE;/                                           ;Edge      ;250;51+  ;F;1;13
IOS15_5  ;AT;/apis/onSite/pGateway/security              ;Edge      ;199;51+  ;M;1;13
IOS15_4_1;TR;/apis/onSite/pGateway/introduction          ;Firefox   ;491;31-50;F;1;13
A9       ;EG;/                                           ;Firefox   ;298;18-30;F;0;13
IOS16_0  ;IL;/                                           ;Firefox   ;206;51+  ;F;1;13
IOS15_2  ;MT;/                                           ;Firefox   ;472;31-50;F;1;13
A8_1_0   ;SK;/                                           ;Firefox   ;1078;31-50;M;1;13
IOS15_6_1;JP;/apis/onSite/pGateway/deployment            ;Firefox   ;398;18-30;M;1;13
IOS14_7  ;LT;/                                           ;Firefox   ;562;31-50;M;1;13
IOS14_7_1;HU;/apis/onSite/pGateway/hardware              ;Firefox   ;292;51+  ;F;1;13
IOS15_3_1;FR;/                                           ;Opera     ;149;31-50;F;1;13
IOS11_0  ;KR;/                                           ;Opera     ;137;51+  ;M;0;13
IOS15_3  ;AR;/                                           ;Opera     ;566;31-50;F;1;13
A8_0_0   ;IT;/                                           ;Safari    ;340;51+  ;F;1;13
IOS15_6  ;MX;/sdk/mobile/myport/introduction             ;Safari    ;805;18-30;M;0;13
A6       ;MX;/                                           ;Safari    ;471;31-50;F;0;13
A8_0_0   ;IT;/packages                                   ;Safari    ;923;51+  ;F;0;13
A10      ;CR;/apis/cloud/statusIndicators/specification  ;Chrome    ;572;51+  ;F;0;14
IOS15_5  ;GR;/                                           ;Edge      ;639;18-30;F;1;14
A10      ;FI;/packages                                   ;Opera     ;358;31-50;M;0;14
IOS8_3   ;FI;/                                           ;Opera     ;302;18-30;M;1;14
IOS15_5  ;NL;/                                           ;Opera     ;120;18-30;F;1;14
W8_1     ;ZW;/                                           ;Chrome    ;364;31-50;M;0;15
